holiday_flag,temperature,fuel_price,cpi,unemployment,store,actual_weekly_sales,predicted_weekly_sales,date
0,0,0,0,0,1,1643690.9,1643690.9,2010-02-05
0,0,0,0,0,1,1641957.44,1641957.44,2010-02-12
0,0,0,0,0,1,1611968.17,1611968.17,2010-02-19
0,0,0,0,0,1,1409727.59,1409727.59,2010-02-26
0,0,0,0,0,1,1554806.68,1554806.68,2010-03-05
0,0,0,0,0,1,1439541.59,1439541.59,2010-03-12
0,0,0,0,0,1,1472515.79,1472515.79,2010-03-19
0,0,0,0,0,1,1404429.92,1404429.92,2010-03-26
0,0,0,0,0,1,1594968.28,1594968.28,2010-04-02
0,0,0,0,0,1,1545418.53,1545418.53,2010-04-09
0,0,0,0,0,1,1466058.28,1466058.28,2010-04-16
0,0,0,0,0,1,1391256.12,1391256.12,2010-04-23
0,0,0,0,0,1,1425100.71,1425100.71,2010-04-30
0,0,0,0,0,1,1603955.12,1603955.12,2010-05-07
0,0,0,0,0,1,1494251.5,1494251.5,2010-05-14
0,0,0,0,0,1,1399662.07,1399662.07,2010-05-21
0,0,0,0,0,1,1432069.95,1432069.95,2010-05-28
0,0,0,0,0,1,1615524.71,1615524.71,2010-06-04
0,0,0,0,0,1,1542561.09,1542561.09,2010-06-11
0,0,0,0,0,1,1503284.06,1503284.06,2010-06-18
0,0,0,0,0,1,1422711.6,1422711.6,2010-06-25
0,0,0,0,0,1,1492418.14,1492418.14,2010-07-02
0,0,0,0,0,1,1546074.18,1546074.18,2010-07-09
0,0,0,0,0,1,1448938.92,1448938.92,2010-07-16
0,0,0,0,0,1,1385065.2,1385065.2,2010-07-23
0,0,0,0,0,1,1371986.6,1371986.6,2010-07-30
0,0,0,0,0,1,1605491.78,1605491.78,2010-08-06
0,0,0,0,0,1,1508237.76,1508237.76,2010-08-13
0,0,0,0,0,1,1513080.49,1513080.49,2010-08-20
0,0,0,0,0,1,1449142.92,1449142.92,2010-08-27
0,0,0,0,0,1,1540163.53,1540163.53,2010-09-03
0,0,0,0,0,1,1507460.69,1507460.69,2010-09-10
0,0,0,0,0,1,1430378.67,1430378.67,2010-09-17
0,0,0,0,0,1,1351791.03,1351791.03,2010-09-24
0,0,0,0,0,1,1453329.5,1453329.5,2010-10-01
0,0,0,0,0,1,1508239.93,1508239.93,2010-10-08
0,0,0,0,0,1,1459409.1,1459409.1,2010-10-15
