Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Store,Actual_Weekly_Sales,Predicted_Weekly_Sales,Date
0,49.01,3.157,219.7142581,7.348,1,1550369.92,1.7486608e+06,2012-01-02
0,48.53,3.261,219.8925263,7.348,1,1459601.17,1.5144684e+06,2012-01-09
0,54.11,3.268,219.9856893,7.348,1,1394393.84,1.4063011e+06,2012-01-16
0,54.26,3.29,220.0788523,7.348,1,1319325.59,1.3471956e+06,2012-01-23
0,56.55,3.36,220.1720153,7.348,1,1636339.65,1.6332585e+06,2012-01-30
1,48.02,3.409,220.2651783,7.348,1,1802477.43,1.6221684e+06,2012-02-06
0,45.32,3.51,220.4257586,7.348,1,1819870.0,1.5994495e+06,2012-02-13
0,57.25,3.555,220.636902,7.348,1,1539387.83,1.668637e+06,2012-02-20
0,60.96,3.63,220.8480454,7.348,1,1688420.76,1.7981081e+06,2012-02-27
0,58.76,3.669,221.0591887,7.348,1,1675431.16,1.6044265e+06,2012-03-05
0,64.74,3.734,221.2118132,7.348,1,1677472.78,1.5617938e+06,2012-03-12
0,65.93,3.787,221.2864126,7.348,1,1511068.07,1.5486629e+06,2012-03-19
0,67.61,3.845,221.3610119,7.348,1,1649604.63,1.6593434e+06,2012-03-26
0,70.43,3.891,221.4356112,7.143,1,1899676.88,1.7101161e+06,2012-04-02
0,69.07,3.891,221.5102105,7.143,1,1621031.7,1.6012236e+06,2012-04-09
0,66.76,3.877,221.5640737,7.143,1,1521577.87,1.6638356e+06,2012-04-16
0,67.23,3.814,221.6179368,7.143,1,1468928.37,1.5102034e+06,2012-04-23
0,75.55,3.749,221.6718,7.143,1,1684519.99,1.6044125e+06,2012-04-30
0,73.77,3.688,221.7256632,7.143,1,1611096.05,1.463904e+06,2012-05-07
0,70.33,3.63,221.742674,7.143,1,1595901.87,1.5246912e+06,2012-05-14
0,77.22,3.561,221.744944,7.143,1,1555444.55,1.4953065e+06,2012-05-21
0,77.95,3.501,221.7472139,7.143,1,1624477.58,1.573696e+06,2012-05-28
0,78.3,3.452,221.7494839,7.143,1,1697230.96,1.5732542e+06,2012-06-04
0,79.35,3.393,221.7626421,7.143,1,1630607.0,1.5122128e+06,2012-06-11
0,78.39,3.346,221.8030211,7.143,1,1527845.81,1.5405095e+06,2012-06-18
0,84.88,3.286,221.8434,7.143,1,1540421.49,1.5440178e+06,2012-06-25
0,81.57,3.227,221.8837789,6.908,1,1769854.16,1.6569912e+06,2012-07-02
0,77.12,3.256,221.9241579,6.908,1,1527014.04,1.4299301e+06,2012-07-09
0,80.42,3.311,221.9327267,6.908,1,1497954.76,1.5409832e+06,2012-07-16
0,82.66,3.407,221.9412954,6.908,1,1439123.71,1.436259e+06,2012-07-23
0,86.11,3.417,221.9498642,6.908,1,1631135.79,1.5640178e+06,2012-07-30
0,85.05,3.494,221.9584329,6.908,1,1592409.97,1.451216e+06,2012-08-06
0,84.85,3.571,222.0384109,6.908,1,1597868.05,1.5276825e+06,2012-08-13
0,77.66,3.62,222.1719457,6.908,1,1494122.38,1.4232952e+06,2012-08-20
0,80.49,3.638,222.3054805,6.908,1,1582083.4,1.5398354e+06,2012-08-27
1,83.96,3.73,222.4390153,6.908,1,1661767.33,1.5417239e+06,2012-09-03
0,74.97,3.717,222.5820193,6.908,1,1517428.87,1.4489435e+06,2012-09-10
0,69.87,3.721,222.7818386,6.908,1,1506126.06,1.4741599e+06,2012-09-17
0,76.08,3.666,222.9816579,6.908,1,1437059.26,1.4230571e+06,2012-09-24
0,68.55,3.617,223.1814772,6.573,1,1670785.97,1.5640178e+06,2012-10-01
0,62.99,3.601,223.3812965,6.573,1,1573072.81,1.4362515e+06,2012-10-08
0,67.97,3.594,223.4257233,6.573,1,1508068.77,1.5042045e+06,2012-10-15
0,69.16,3.506,223.4442513,6.573,1,1493659.74,1.4385796e+06,2012-10-22
0,46.75,3.157,219.355063,7.057,2,1799520.14,1.8760364e+06,2012-01-02
0,45.99,3.261,219.5328198,7.057,2,1744725.48,1.8057428e+06,2012-01-09
0,51.7,3.268,219.6258417,7.057,2,1711769.11,1.7450396e+06,2012-01-16
0,50.5,3.29,219.7188636,7.057,2,1660906.14,1.6876926e+06,2012-01-23
0,55.21,3.36,219.8118854,7.057,2,1935299.94,1.8854464e+06,2012-01-30
1,46.98,3.409,219.9049073,7.057,2,2103322.68,1.9202255e+06,2012-02-06
0,43.82,3.51,220.0651993,7.057,2,2196688.46,1.9755204e+06,2012-02-13
0,54.63,3.555,220.275944,7.057,2,1861802.7,1.9434152e+06,2012-02-20
0,58.79,3.63,220.4866886,7.057,2,1952555.66,1.9213092e+06,2012-02-27
0,57.11,3.669,220.6974332,7.057,2,1937628.26,1.8767712e+06,2012-03-05
0,63.68,3.734,220.8498468,7.057,2,1976082.13,1.8983905e+06,2012-03-12
0,64.01,3.787,220.9244858,7.057,2,1790439.16,1.8476662e+06,2012-03-19
